constant,lower_bound,upper_bound,primary_source,secondary_source
ramsey-5-10,,381,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-11,,511,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-12,,672,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-13,,860,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-14,,1081,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-15,,1341,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-6,,160,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-7,,270,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-8,,423,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-9,,651,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-10,,944,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-11,,1346,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-12,,1855,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-13,,2499,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-14,,3301,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-6-15,,4305,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-7,,492,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-8,,832,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-9,,1368,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-10,,2119,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-11,,3197,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-12,,4665,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-13,,6653,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-14,,9260,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-7-15,,12635,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-8-8,,1518,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-8-9,,2662,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-8-10,,4402,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-8-11,,7040,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-8-12,,10836,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-9-9,,4956,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-9-10,,8675,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-9-11,,14631,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-10-10,,16064,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
